날짜,장르,score
2023-06-30,댄스,9841884.0
2023-06-30,댄스/팝,2234760599.0
2023-06-30,락,33419144.0
2023-06-30,락/메탈,58491216.0
2023-06-30,랩/힙합,172913784.0
2023-06-30,발라드,895700673.0
2023-06-30,성인가요,19603911.0
2023-06-30,알앤비/소울,206128422.0
2023-06-30,인디,272354690.0
2023-06-30,일렉트로닉,12298398.0
2023-06-30,팝,330424111.0
2023-06-30,포크/어쿠스틱,21345918.0
